system,n_items,mean_boundary_mae_ms,mean_tbe_20ms,mean_tbe_50ms,mean_iou,mean_label_recall,mean_label_precision,mean_start_mae_ms,mean_end_mae_ms,mean_dur_mae_ms
MFA,810,75.4094877026763,0.4587288634780643,0.23443496209312306,0.6499826134318736,0.894923050527264,0.9285240961114961,73.6918077046696,77.12716770068299,137.69899627931085
SOFA,855,52.379770033516905,0.5388965923498635,0.2702085972009624,0.6073828317818151,0.9399711953200001,0.9361437923960741,51.62805437023638,53.13148569679742,90.08358140034633
SOFA-FT,855,41.38261698356903,0.4289675899009128,0.2039638291715014,0.6626828659834382,0.9565029538548107,0.9525131228833875,40.07336400370707,42.69186996343098,70.84303315794182
