pair,metric,mean_A,mean_B,diff_B-A,n_common
MFA vs SOFA,boundary_mae_ms,96.22250362612331,55.392431747840995,-40.830071878282325,101
MFA vs SOFA,tbe_20ms,0.47340380421760475,0.5620721237926988,0.088668319575094,101
MFA vs SOFA,tbe_50ms,0.21363474762318901,0.2869252348859865,0.07329048726279745,101
MFA vs SOFA,mean_iou,0.6287682577302162,0.5989273652110416,-0.029840892519174426,101
MFA vs SOFA,label_recall,0.8775464234890167,0.942694880442249,0.065148456953232,101
MFA vs SOFA,label_precision,0.955010435440093,0.9345299268029882,-0.02048050863710475,101
MFA vs SOFA,start_mae_ms,95.15688471182555,51.811967382439015,-43.34491732938655,101
MFA vs SOFA,end_mae_ms,97.28812254042109,58.97289611324296,-38.31522642717812,101
MFA vs SOFA,dur_mae_ms,180.15710305291887,95.70397894505858,-84.4531241078603,101
MFA vs SOFA-FT,boundary_mae_ms,96.22250362612331,27.15827557725812,-69.0642280488652,101
MFA vs SOFA-FT,tbe_20ms,0.47340380421760475,0.3192538680769876,-0.15414993614061723,101
MFA vs SOFA-FT,tbe_50ms,0.21363474762318901,0.13602337901870246,-0.07761136860448661,101
MFA vs SOFA-FT,mean_iou,0.6287682577302162,0.7235896708649422,0.094821413134726,101
MFA vs SOFA-FT,label_recall,0.8775464234890167,0.9773599647040145,0.09981354121499768,101
MFA vs SOFA-FT,label_precision,0.955010435440093,0.9691948839239944,0.014184448483901416,101
MFA vs SOFA-FT,start_mae_ms,95.15688471182555,25.7963236588802,-69.36056105294536,101
MFA vs SOFA-FT,end_mae_ms,97.28812254042109,28.520227495636046,-68.76789504478502,101
MFA vs SOFA-FT,dur_mae_ms,180.15710305291887,44.093588468947374,-136.06351458397154,101
SOFA vs SOFA-FT,boundary_mae_ms,52.379770033516905,41.38261698356904,-10.997153049947872,485
SOFA vs SOFA-FT,tbe_20ms,0.5388965923498635,0.42896758990091277,-0.1099290024489508,485
SOFA vs SOFA-FT,tbe_50ms,0.2702085972009624,0.2039638291715014,-0.06624476802946098,485
SOFA vs SOFA-FT,mean_iou,0.6073828317818151,0.6626828659834382,0.05530003420162305,485
SOFA vs SOFA-FT,label_recall,0.9399711953200001,0.9565029538548107,0.016531758534810547,485
SOFA vs SOFA-FT,label_precision,0.9361437923960741,0.9525131228833876,0.01636933048731338,485
SOFA vs SOFA-FT,start_mae_ms,51.62805437023637,40.07336400370707,-11.554690366529307,485
SOFA vs SOFA-FT,end_mae_ms,53.13148569679742,42.69186996343098,-10.439615733366434,485
SOFA vs SOFA-FT,dur_mae_ms,90.08358140034633,70.84303315794182,-19.240548242404504,485
