system,singer,n_items,mean_boundary_mae_ms,mean_iou,mean_label_recall,mean_tbe_20ms,mean_tbe_50ms
MFA Only,EN-Alto-1,535,48.32607546262901,0.6811427195768818,0.7551857361592321,0.40562661164855085,0.17639194082211207
SOFA,EN-Alto-1,213,52.910222076721894,0.628351105870621,0.7128933828326138,0.5208829632839531,0.27267062214734566
MFA Only,EN-Alto-2,79,37.932498610902186,0.7022497794123581,0.7784570644916049,0.36935273265994967,0.14274864090452896
SOFA,EN-Alto-2,81,49.026186616131874,0.6291081381761987,0.7326823207265206,0.49980503063216897,0.266587552419403
SOFA,EN-Tenor-1,191,43.228313553084085,0.6480214534391711,0.7627057954952039,0.47284537728030146,0.22387508917106477
MFA Only,EN-Tenor-1,133,60.02899251601739,0.6806154061031123,0.7678924361619278,0.39558717714254116,0.19623765400684606
