system,n_items,mean_label_recall,mean_label_precision,mean_start_mae_ms,mean_end_mae_ms,mean_boundary_mae_ms,mean_dur_mae_ms,mean_iou,mean_tbe_20ms,mean_tbe_50ms
SOFA,485,0.7367678790853888,0.7505500659175803,31.17616243605715,65.34949657977691,48.26282950791703,80.05491401550364,0.6364746535999924,0.4974906118079617,0.2517417124576809
MFA Only,747,0.7597800408970135,0.810412674480577,29.97199750064904,68.61032506979069,49.291161285219864,87.13896477713429,0.6832389466569228,0.40011364415590156,0.17636787147838576
